"ID" "GROUP" "SCIENCE" "URBAN" "GENDER" "CONS" "URB.MEAN" "SCH.RES" "SCH.RES.MEAN" "GEND.FAC"
1 1 1 8 1 1 -6.425000000000001 5 -4.96875 "Male"
2 1 1 7 1 1 -7.425000000000001 5 -4.96875 "Male"
3 1 2 7 1 1 -7.425000000000001 5 -4.96875 "Male"
4 1 2 6 1 1 -8.425 5 -4.96875 "Male"
5 1 3 6 1 1 -8.425 5 -4.96875 "Male"
6 1 3 5 2 1 -9.425 5 -4.96875 "Female"
7 1 4 5 2 1 -9.425 5 -4.96875 "Female"
8 1 4 5 2 1 -9.425 5 -4.96875 "Female"
9 1 5 3 2 1 -11.425 5 -4.96875 "Female"
10 1 5 2 2 1 -12.425 5 -4.96875 "Female"
11 2 2 8 2 1 -6.425000000000001 6 -3.96875 "Female"
12 2 2 8 2 1 -6.425000000000001 6 -3.96875 "Female"
13 2 3 7 2 1 -7.425000000000001 6 -3.96875 "Female"
14 2 3 6 2 1 -8.425 6 -3.96875 "Female"
15 2 4 5 2 1 -9.425 6 -3.96875 "Female"
16 2 4 5 1 1 -9.425 6 -3.96875 "Male"
17 2 5 5 1 1 -9.425 6 -3.96875 "Male"
18 2 5 4 1 1 -10.425 6 -3.96875 "Male"
19 2 6 4 1 1 -10.425 6 -3.96875 "Male"
20 2 6 4 1 1 -10.425 6 -3.96875 "Male"
21 3 3 10 1 1 -4.425000000000001 7 -2.96875 "Male"
22 3 3 10 1 1 -4.425000000000001 7 -2.96875 "Male"
23 3 4 10 1 1 -4.425000000000001 7 -2.96875 "Male"
24 3 4 8 1 1 -6.425000000000001 7 -2.96875 "Male"
25 3 5 9 1 1 -5.425000000000001 7 -2.96875 "Male"
26 3 5 8 2 1 -6.425000000000001 7 -2.96875 "Female"
27 3 6 6 2 1 -8.425 7 -2.96875 "Female"
28 3 6 7 2 1 -7.425000000000001 7 -2.96875 "Female"
29 3 7 7 2 1 -7.425000000000001 7 -2.96875 "Female"
30 3 7 6 2 1 -8.425 7 -2.96875 "Female"
31 4 4 12 2 1 -2.4250000000000007 7 -2.96875 "Female"
32 4 4 11 2 1 -3.4250000000000007 7 -2.96875 "Female"
33 4 5 10 2 1 -4.425000000000001 7 -2.96875 "Female"
34 4 5 10 2 1 -4.425000000000001 7 -2.96875 "Female"
35 4 6 10 2 1 -4.425000000000001 7 -2.96875 "Female"
36 4 6 10 1 1 -4.425000000000001 7 -2.96875 "Male"
37 4 7 8 1 1 -6.425000000000001 7 -2.96875 "Male"
38 4 7 8 1 1 -6.425000000000001 7 -2.96875 "Male"
39 4 8 8 1 1 -6.425000000000001 7 -2.96875 "Male"
40 4 8 8 1 1 -6.425000000000001 7 -2.96875 "Male"
41 5 5 14 1 1 -.4250000000000007 8 -1.96875 "Male"
42 5 5 14 1 1 -.4250000000000007 8 -1.96875 "Male"
43 5 6 13 1 1 -1.4250000000000007 8 -1.96875 "Male"
44 5 6 12 1 1 -2.4250000000000007 8 -1.96875 "Male"
45 5 7 13 1 1 -1.4250000000000007 8 -1.96875 "Male"
46 5 7 11 2 1 -3.4250000000000007 8 -1.96875 "Female"
47 5 8 10 2 1 -4.425000000000001 8 -1.96875 "Female"
48 5 8 11 2 1 -3.4250000000000007 8 -1.96875 "Female"
49 5 9 10 2 1 -4.425000000000001 8 -1.96875 "Female"
50 5 9 9 2 1 -5.425000000000001 8 -1.96875 "Female"
51 6 6 15 2 1 .5749999999999993 8 -1.96875 "Female"
52 6 6 15 2 1 .5749999999999993 8 -1.96875 "Female"
53 6 7 15 2 1 .5749999999999993 8 -1.96875 "Female"
54 6 7 14 2 1 -.4250000000000007 8 -1.96875 "Female"
55 6 8 14 2 1 -.4250000000000007 8 -1.96875 "Female"
56 6 8 14 1 1 -.4250000000000007 8 -1.96875 "Male"
57 6 9 13 1 1 -1.4250000000000007 8 -1.96875 "Male"
58 6 9 14 1 1 -.4250000000000007 8 -1.96875 "Male"
59 6 10 13 1 1 -1.4250000000000007 8 -1.96875 "Male"
60 6 10 12 1 1 -2.4250000000000007 8 -1.96875 "Male"
61 7 7 15 1 1 .5749999999999993 9 -.96875 "Male"
62 7 7 15 1 1 .5749999999999993 9 -.96875 "Male"
63 7 8 13 1 1 -1.4250000000000007 9 -.96875 "Male"
64 7 8 14 1 1 -.4250000000000007 9 -.96875 "Male"
65 7 9 13 1 1 -1.4250000000000007 9 -.96875 "Male"
66 7 9 13 2 1 -1.4250000000000007 9 -.96875 "Female"
67 7 10 13 2 1 -1.4250000000000007 9 -.96875 "Female"
68 7 10 12 2 1 -2.4250000000000007 9 -.96875 "Female"
69 7 11 12 2 1 -2.4250000000000007 9 -.96875 "Female"
70 7 11 12 2 1 -2.4250000000000007 9 -.96875 "Female"
71 8 8 17 2 1 2.5749999999999993 10 .03125 "Female"
72 8 8 17 2 1 2.5749999999999993 10 .03125 "Female"
73 8 9 16 2 1 1.5749999999999993 10 .03125 "Female"
74 8 9 16 2 1 1.5749999999999993 10 .03125 "Female"
75 8 10 15 2 1 .5749999999999993 10 .03125 "Female"
76 8 10 15 1 1 .5749999999999993 10 .03125 "Male"
77 8 11 14 1 1 -.4250000000000007 10 .03125 "Male"
78 8 11 14 1 1 -.4250000000000007 10 .03125 "Male"
79 8 12 13 1 1 -1.4250000000000007 10 .03125 "Male"
80 8 12 13 1 1 -1.4250000000000007 10 .03125 "Male"
81 9 9 17 1 1 2.5749999999999993 10 .03125 "Male"
82 9 9 17 1 1 2.5749999999999993 10 .03125 "Male"
83 9 10 17 1 1 2.5749999999999993 10 .03125 "Male"
84 9 10 16 1 1 1.5749999999999993 10 .03125 "Male"
85 9 11 16 1 1 1.5749999999999993 10 .03125 "Male"
86 9 11 16 2 1 1.5749999999999993 10 .03125 "Female"
87 9 12 15 2 1 .5749999999999993 10 .03125 "Female"
88 9 12 15 2 1 .5749999999999993 10 .03125 "Female"
89 9 13 15 2 1 .5749999999999993 10 .03125 "Female"
90 9 13 14 2 1 -.4250000000000007 10 .03125 "Female"
91 10 10 18 2 1 3.5749999999999993 11 1.03125 "Female"
92 10 10 17 2 1 2.5749999999999993 11 1.03125 "Female"
93 10 11 16 2 1 1.5749999999999993 11 1.03125 "Female"
94 10 11 16 2 1 1.5749999999999993 11 1.03125 "Female"
95 10 12 16 2 1 1.5749999999999993 11 1.03125 "Female"
96 10 12 15 1 1 .5749999999999993 11 1.03125 "Male"
97 10 13 15 1 1 .5749999999999993 11 1.03125 "Male"
98 10 13 15 1 1 .5749999999999993 11 1.03125 "Male"
99 10 14 14 1 1 -.4250000000000007 11 1.03125 "Male"
100 10 14 13 1 1 -1.4250000000000007 11 1.03125 "Male"
101 11 11 19 1 1 4.574999999999999 11.5 1.53125 "Male"
102 11 11 18 1 1 3.5749999999999993 11.5 1.53125 "Male"
103 11 12 18 1 1 3.5749999999999993 11.5 1.53125 "Male"
104 11 12 17 1 1 2.5749999999999993 11.5 1.53125 "Male"
105 11 13 17 1 1 2.5749999999999993 11.5 1.53125 "Male"
106 11 13 17 2 1 2.5749999999999993 11.5 1.53125 "Female"
107 11 14 16 2 1 1.5749999999999993 11.5 1.53125 "Female"
108 11 14 16 2 1 1.5749999999999993 11.5 1.53125 "Female"
109 11 15 15 2 1 .5749999999999993 11.5 1.53125 "Female"
110 11 15 15 2 1 .5749999999999993 11.5 1.53125 "Female"
111 12 12 19 2 1 4.574999999999999 12 2.03125 "Female"
112 12 12 19 2 1 4.574999999999999 12 2.03125 "Female"
